Species	Core kmers	Mean Kmers	Kmers Std Dev	Min Kmers	Max Kmers	Available Genomes	Used Genomes
Abiotrophia defectiva	5398	5400	0	5400	5401	2	2
Abyssicoccus albus	3724	4985	58	4927	5043	2	2
Acaryochloris marina_A	9153	13028	10	13018	13037	2	2
Acetatifactor intestinalis	2732	7443	519	6448	8005	6	6
Acetatifactor muris	12453	12466	4	12462	12471	2	2
Acetobacter aceti	9870	10105	89	10006	10222	3	3
Acetobacter ascendens	2769	4453	376	4046	4953	3	3
Acetobacter cerevisiae	3569	7359	239	7090	7671	3	3
Acetobacter fabarum	3491	6078	310	5444	6373	6	6
Acetobacter ghanensis	6166	6172	2	6169	6174	2	2
Acetobacter indonesiensis	3238	8084	250	7776	8351	6	6
Acetobacter lambici	6769	7341	205	7051	7497	3	3
Acetobacter lovaniensis	6244	7647	321	7193	7883	3	3
Acetobacter malorum	2697	8218	320	7922	8688	4	4
Acetobacter okinawensis	4268	7531	314	7271	8067	4	4
Acetobacter orientalis	2012	4730	419	4271	5408	9	9
Acetobacter orleanensis	6873	6880	4	6876	6885	2	2
Acetobacter pasteurianus	2471	4685	105	4477	4813	6	6
Acetobacter persici	2025	7302	348	6885	7926	10	10
Acetobacter pomorum	3847	4194	24	4170	4218	2	2
Acetobacter syzygii	4042	5606	347	5180	5916	5	5
Acetobacter thailandicus	4295	6663	141	6378	6836	7	7
Acetobacter tropicalis	4303	7550	176	7352	7727	4	4
Acetobacterium bakii	8562	8586	20	8565	8606	2	2
Acetobacterium dehalogenans	5330	8795	39	8756	8834	2	2
Acetobacterium paludosum	7714	7718	4	7714	7723	2	2
Acetobacterium tundrae	7440	7445	0	7445	7445	2	2
Acetobacterium wieringae	4300	8266	259	7881	8560	4	4
Acetomicrobium flavidum	3499	4640	130	4509	4770	2	2
Acholeplasma hippikon	2437	2442	4	2438	2447	2	2
Acholeplasma laidlawii	2104	3037	105	2657	3071	14	14
Acholeplasma oculi	3164	3167	0	3167	3168	3	3
Achromobacter aegrifaciens	9190	12222	317	11670	12535	5	5
Achromobacter animicus	6795	11515	244	11250	11910	4	4
Achromobacter anxifer	9196	12271	509	11622	12868	4	4
Achromobacter deleyi	9757	11830	218	11686	12206	4	4
Achromobacter denitrificans	6648	10608	313	9871	11287	18	18
Achromobacter dolens	7757	10896	212	10697	11358	7	7
Achromobacter insolitus	7782	12434	542	11627	13843	19	19
Achromobacter insuavis	8567	11550	187	11262	11919	8	8
Achromobacter kerstersii	10993	13596	368	13229	13964	2	2
Achromobacter marplatensis	7917	12688	23	12642	12703	5	5
Achromobacter mucicolens	4359	11417	408	10720	12065	13	13
Achromobacter piechaudii	7971	12308	296	11943	12772	7	7
Achromobacter pulmonis	8827	10346	241	10153	10686	3	3
Achromobacter ruhlandii	6419	10960	352	10081	11726	27	27
Achromobacter spanius	7328	12375	450	12114	13154	4	4
Achromobacter xylosoxidans	4983	11076	365	10366	12167	133	133
Acidaminococcus fermentans	3020	4282	193	3910	4467	5	5
Acidaminococcus intestini	6923	7512	182	7329	7694	2	2
Acidibacillus ferrooxidans	5936	7213	184	7046	7470	3	3
Acidiferrobacter thiooxydans	6428	7117	115	7002	7232	2	2
Acidimangrovimonas indica	6883	6919	11	6903	6927	3	3
Acidiphilium multivorum	7339	7384	45	7339	7429	2	2
Acidiphilium rubrum	6971	7189	196	6993	7385	2	2
Acidipropionibacterium acidipropionici	5523	7631	76	7567	7760	4	4
Acidipropionibacterium jensenii	3521	5871	140	5713	6098	5	5
Acidithiobacillus caldus	3667	4746	168	4578	4915	2	2
Acidithiobacillus ferriphilus	3009	5591	296	5267	6050	8	8
Acidithiobacillus ferrivorans	3788	7076	266	6810	7342	2	2
Acidithiobacillus ferrooxidans	5683	6501	276	6104	6766	4	4
